"","price","address","squares","type","year","age","bed","bath","tax"
"397","$3,500,000","15618 Niagara Parkway, Niagara-on-the-Lake, ON","10,000 sq.ft.","Residential, House","1875","100+","9","10",NA
"398","$1,238,888","75 Titan Trail, Markham, ON",NA,"Residential, House",NA,NA,"4","4","$6,533"
"399","$1,298,000","2177 Lillykin St, Oakville, ON","2,760 sq.ft.","Residential, Townhouse","2017","0-5","3","4","$5,389"
"400","$4,250,000","206 Bloor St W #502, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","3","$18,219"
"401","$1,059,000","379 Pettit Trail, Milton, ON","2,275 sq.ft.","Residential, House",NA,"6-15 yrs","4","3+1","$4,434"
"402","$929,000 or $3,300/mo","1575 Lakeshore Rd W, Mississauga, ON",NA,"Residential, Condo",NA,"1","2+1","2",NA
"403","$3,945,000","74 Pricefield Rd, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","4+1","$11,952"
"404","$6,295,000","22 Deanbank Dr, Markham, ON",NA,"Residential, House",NA,NA,"4+2","5","$21,038"
"405","$799,000","360A Dundas St E, Toronto, ON",NA,"Residential, Townhouse",NA,NA,"2","2","$2,180"
"406","$1,650,000","7A Prince Street, Halton Hills, ON","2,450 sq.ft.","Residential, House",NA,NA,"4","3+1","$7,132"
"407","$797,000","55 Regent Park Blvd #2602, Toronto, ON",NA,"Residential, Condo",NA,"6-10","2","2","$2,579"
"408","$728,000","32 Orca Dr, Markham, ON",NA,"Residential, House",NA,"6-15","3","3","$3,731"
"409","$900,000","16 Hillson Crt, Brampton, ON",NA,"Residential, House",NA,NA,"3","3","$5,520"
"410","$929,000","1048 Broadview Ave, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,334"
"411","$5,295,000","158 Glen Rd, Toronto, ON",NA,"Residential, House",NA,NA,"6+1","5","$20,269"
"412","$2,695,000","35 Marlborough Avenue, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$9,607"
"413","$1,300,000","88 Cumberland St #1201, Toronto, ON",NA,"Residential, Condo",NA,"New","2","2",NA
"414","$1,799,999","9544 Hutsell Rd, Northumberland, ON","3,256 sq.ft.","Farm & Agriculture, Farm / Ranch","1959","100+","3","3","$12,413"
